bgg_id,image
16652,https://cf.geekdo-images.com/lr548KMjHEMadvgYqBeBPg__original/img/UNypTZAMmXipz1Y5dOpnaokFtYw=/0x0/filters:format(jpeg)/pic7871820.jpg
16653,
16654,https://cf.geekdo-images.com/WcWFvysWVHZlOyJqpuGFZQ__original/img/wpuNfQ8fTlIJr7V51dpn64aKOX0=/0x0/filters:format(jpeg)/pic85168.jpg
16655,
16656,https://cf.geekdo-images.com/J9hxy4jG47HyclM8MELlDQ__original/img/iFeyuBElLoHsgLxxrGlhmiwGO3g=/0x0/filters:format(jpeg)/pic2710377.jpg
16657,
16658,https://cf.geekdo-images.com/xIYlOg38wo_O-NQ2TFHhCA__original/img/bsH_hUE3I_QOE45uznT5oPBUaQU=/0x0/filters:format(jpeg)/pic70990.jpg
16659,
16660,https://cf.geekdo-images.com/7CaUrCeNLMGUBMHohuSiKQ__original/img/m3WtJbPp2X-Vl8lOBkeV0h7gfdk=/0x0/filters:format(jpeg)/pic83680.jpg
16661,
16662,https://cf.geekdo-images.com/3v4XgOOm5-gt7mNjWDEK8A__original/img/09UNCbjAVr82ALSU8jb3CL3arnA=/0x0/filters:format(jpeg)/pic70995.jpg
16663,
16664,https://cf.geekdo-images.com/BCnmSXawhxa5M1nxvmr8Pg__original/img/YMYgIqLvsFU-0hdWDxdJjxJkhpo=/0x0/filters:format(jpeg)/pic91226.jpg
16665,
16669,https://cf.geekdo-images.com/efc5dtRWYB0ywffz9DhQEg__original/img/a64i2SRZBj8XHpof3QyJlTw4-uQ=/0x0/filters:format(jpeg)/pic7921503.jpg
16670,
16671,https://cf.geekdo-images.com/jx_GYyEQDas872kz3zofJA__original/img/Y8qXMJI1koCBD0AUxAJmIWmZWSQ=/0x0/filters:format(jpeg)/pic132221.jpg
16673,
16674,https://cf.geekdo-images.com/MGoVrO-X7PE2OlhHPmZBSg__original/img/wxVf7qCi7TItTfbVq6pd5CB5fKI=/0x0/filters:format(jpeg)/pic105633.jpg
16675,
16676,https://cf.geekdo-images.com/VC8Y9EuTUZLhY43jLIXb1A__original/img/pXZ6rhPROTj3AeZB7IYP5I-c-_k=/0x0/filters:format(jpeg)/pic81048.jpg
16677,
16678,https://cf.geekdo-images.com/udbybirOVP4Ljq0rgM_PPQ__original/img/PSkzC_ndBTEf6Ff_Ns1aMgiSD7w=/0x0/filters:format(jpeg)/pic70960.jpg
16679,
16680,https://cf.geekdo-images.com/syWNNn_3uYck37QvsByMcw__original/img/-IhTGNyJNJ6NRtFj2vrUhkGwpQE=/0x0/filters:format(jpeg)/pic71117.jpg
16681,
16682,https://cf.geekdo-images.com/kqWnO6HoQq5WgtYhIx7Aqw__original/img/2D-QrMDyOdTX6swfGVEJJ_Rvwes=/0x0/filters:format(jpeg)/pic2013055.jpg
16683,
16684,https://cf.geekdo-images.com/UqKboOwnSqJSKHqHhIVCug__original/img/yfmBx54K2R6GDqj117IdvIbCqBc=/0x0/filters:format(jpeg)/pic70931.jpg
16685,
16686,https://cf.geekdo-images.com/UyrwEc0qwZy9WTZuusV5eg__original/img/VQY4GPF1voRjLYGbQ4iiXpmE89k=/0x0/filters:format(jpeg)/pic102335.jpg
16687,
16690,https://cf.geekdo-images.com/IxDQEJCE1KeRH_kjwpujDQ__original/img/tSNTlvPUFKbdsSVfIHIyKulyakE=/0x0/filters:format(png)/pic1079582.png
16691,
16692,https://cf.geekdo-images.com/g2kYcxx5_rkGFR-eZOj4lg__original/img/YyIi1LmRsiQJ4EcdBZKQiozawZ8=/0x0/filters:format(jpeg)/pic70964.jpg
16693,
16695,https://cf.geekdo-images.com/7Hsty85VbgG1NqavSNDZHw__original/img/q7qNFUTzdrSuga4UR8pRUZPKZnk=/0x0/filters:format(jpeg)/pic149396.jpg
16696,
16697,https://cf.geekdo-images.com/lndTB5WVsjoZ8exuwCNllw__original/img/QonQXmQpRAvrTUs3Sj5lb1QPQWk=/0x0/filters:format(jpeg)/pic130263.jpg
16698,
16699,https://cf.geekdo-images.com/RsdWgo05c-yd9pzEbwbdcA__original/img/DUr4Yrazn7XYkKpWXlQGed1nFp4=/0x0/filters:format(jpeg)/pic2418429.jpg
16700,
16701,https://cf.geekdo-images.com/XZsmuCpu8GFsYuRhOsvjsw__original/img/LM-LhmFWpu1IMe5cTXOGAiiVz2s=/0x0/filters:format(jpeg)/pic71048.jpg
16702,
16703,https://cf.geekdo-images.com/Xvj01BU-tSVPm8EW1tGRYA__original/img/irK5tQIHsKPdXXthGs_QFulMHdw=/0x0/filters:format(jpeg)/pic223386.jpg
16704,
16705,https://cf.geekdo-images.com/PqzT2x9-OU0JX9wmXPjqnA__original/img/hFC30AQJ9PsJ_ZdaquX7q6wg0d0=/0x0/filters:format(jpeg)/pic584693.jpg
16706,
16707,https://cf.geekdo-images.com/vapSILkGrYVrLOgHZXkDdg__original/img/OV7D-uJIfponXnlJqTVq7JKm6Jg=/0x0/filters:format(jpeg)/pic218815.jpg
16708,
16709,https://cf.geekdo-images.com/itdg1mbjJCrXJnP1eyV3BA__original/img/Sj_b_YBYBa9Rfa8f6gIlzKGZHvM=/0x0/filters:format(jpeg)/pic6232471.jpg
16710,
16711,https://cf.geekdo-images.com/DNPVLpRTAknpkTy5u0jEwQ__original/img/8irRzW24lyfvjxL8suFAHithF8Q=/0x0/filters:format(jpeg)/pic218946.jpg
16712,
16713,https://cf.geekdo-images.com/Lzj20elSsS5xyYettbBVVA__original/img/lgHd9hbVq4D9oXABunqXoM3SKws=/0x0/filters:format(jpeg)/pic218974.jpg
16714,
16715,https://cf.geekdo-images.com/6QCR4esQn8HawaT5UVE62g__original/img/cOVfDFzF2Vz-TiAoP5-DUFEnKII=/0x0/filters:format(jpeg)/pic1458205.jpg
16716,
16717,https://cf.geekdo-images.com/CdM3MuPYLB0wjr4TJyvAsQ__original/img/kBFw3I2Uph1aS4i8dgWCnap9mZA=/0x0/filters:format(jpeg)/pic70935.jpg
16718,
16719,https://cf.geekdo-images.com/rjefAf-VrXJ5VB3LQo7vfg__original/img/FDKk4SRSEJHUDSK3nb9Pzi2vSgc=/0x0/filters:format(jpeg)/pic251362.jpg
16721,
16723,https://cf.geekdo-images.com/DEXY1apa_sQKYNsuyLmdpQ__original/img/MvBBnCF-1fzj6IR1kVvlgAzB164=/0x0/filters:format(jpeg)/pic3767353.jpg
16724,
