bgg_id,image,description
11191,https://cf.geekdo-images.com/0P5yHCZMTKxJS5xSwLmC0g__original/img/pxNWZqS3FHBTgyq1fRe5AWoMmVk=/0x0/filters:format(jpeg)/pic703846.jpg,
11192,,"Players spin a spinner to move their Dexter along the board, taking actions dependent on where they land (drawing an action card, picking up Dee-Dee, grabbing the lab wrench, and some others).  Dee-Dee slows down a player, but the lab wrench will  let a player counteract any negative effect, including having to take her along.&#10;&#10;For Ages 6 and up.&#10;&#10;"
11193,https://cf.geekdo-images.com/8_FFrnxZF2Zsfx-tPfLemw__original/img/B0Ok0NiGHc1NnnzJDFC5sBkkn5k=/0x0/filters:format(jpeg)/pic2905912.jpg,
11194,,"From the box:&#10;&#10;Lust! is a game for lovers that allows you to explore both romantic and physical intimacies with your partner! You and your partner begin by placing your markers at the start of the gameboard. As you land on various footstep spaces you select cards that have you and your partner acting out or sharing various romantic and sexual indulgences with each other.&#10;&#10;While venturing along the path you also earn love-making cards. The love-making cards explicitly illustrate either a foreplay activity or a sexual position. You and your partner use these cards to build and agree on a sexual fantasy. The first person to reach the bed at the end of the path takes the collected love-making cards and initiates the techniques and positions depicted on the cards. Each game ends with a unique love-making experience because there are over 30,000 possibilities within the love-making cards.&#10;&#10;Contents:&#10;1 gameboard&#10;60 Foreplay cards&#10;40 Love-Making cards&#10;2 game markers&#10;1 die&#10;&#10;"
11195,https://cf.geekdo-images.com/7Q8LSwWZhm8EtFUpPBgjmA__original/img/x1xgm9wu6SkWotysnlvikKtxX9o=/0x0/filters:format(jpeg)/pic71103.jpg,"From the box: The gluttonous rabbit is keen on eating our delicious carrots. If the players succeed in harvesting four carrots before the rabbit eats four carrots, all the players win together.&#10;&#10;"
11196,,
11197,https://cf.geekdo-images.com/YRpwCQ6XzszKKWf0zVen4w__original/img/ZVUA0UNafv4t8bthSRQeDBb5A5s=/0x0/filters:format(jpeg)/pic72207.jpg,"From the box: Bello lives on a big farm. Most of all, he likes to play hide and seek with his friends. With his sharp little nose, he goes searching and almost always finds them. If it happens that this is not the case, the cat gives him important hints.&#10;&#10;Contents:&#10;1 dog&#10;1 cat&#10;1 game board&#10;18 round searching tiles&#10;18 rectangular walking tiles&#10;&#10;ages 4 and up&#10;&#10;"
11198,,"A color assignment game for 2 - 6 children Ages 3 and up, with an easy game variation for younger children.&#10;&#10;From the publisher:&#10;&#10;A lot of vehicles lie on the table: cars, helicopters, bicycles.  But none of them can race away.  Some luck in throwing the colored die will help them get the matching wheels so that they can chug to the player who added the last wheels.  Who can collect the most wheels?&#10;&#10;&lt;!-- Entry audited by (nsolitander) (13-08-2009) --!&gt;&#10;&#10;"
11199,https://cf.geekdo-images.com/QvA5AhNgxGtVZvTsaOxpQQ__original/img/lhM4HxndmF0tARb7NYlBLoEZGTE=/0x0/filters:format(jpeg)/pic67973.jpg,Players take turns adding their pieces to the stand. Whoever gets three of their color in a row wins.&#10;&#10;Contents:&#10;1 cup&#10;18 red pieces&#10;18 ecru pieces&#10;10 black pieces&#10;&#10;
11200,,
11201,https://cf.geekdo-images.com/oXoHtu1i42KGYaX-0cb1CQ__original/img/r3uLYAleHvt1LkuFcTYPEoKAK-c=/0x0/filters:format(jpeg)/pic111242.jpg,"CONTENTS&#10;Circular Game Board (in 2 pieces), &#10;76 Army Playing Figures: Each army consists of: 5 Runners . 1 Standard (flag bearer) 4 Scouts . 4 Archers . 1 General . 4 Lancers&#10;&#10;GAME&#10;Four armies face each other across a circular chequered battleground to dominate the central point of the board.&#10;&#10;"
11202,,"The game is by veteran designer Ted Raicer and contains: 1 hard mounted game board, 96 army counters (about an inch per side; incl. 24 dummies), 46 City Victory markers, 30 Combat chits, 1 Game Turn marker, 1 Game Round marker, 4 Victory Point markers, 8 Game Order Determination markers, 4 Surrender markers, 1 Treaty of Brest-Litovsk marker, 2 Dice, 1 Rules Booklet (8 pages, full-color).&#10;&#10;The game board divides the map of Europe into three Theaters of War - the Western Theater, Italian Theater, and Eastern Theater. Each theater is sub-divided into two or more numbered Fronts (11 fronts total). Each front contains the location of one or more victory cities (46 in total). Ordinary victory city locations are shown with a box, color-coded to show the original owning faction. Replacement centers are shown by a circle in place of a box. Each front also contains one or more faction bases (hexagon shaped) which act as a special sort of city. Bases and cities within each Front are connected by Attack Lines which indicate which cities may be attacked. Finally each Front lists which armies may be deployed or moved there.&#10;&#10;The First World War can be played by 2 to 4 players.&#10;&#10;There are two Alliances: the Allies and the Central Powers. Each Alliance is divided into two factions. The Allies are divided into the Western Allied faction and the Eastern Allied faction. The Central Powers are divided into the German faction and the German Allied faction. Each faction consists of one or more nationalities.&#10;&#10;"
11203,https://cf.geekdo-images.com/dtq3d2VwU14ZfFMWHqWFgA__original/img/DFKkO3VcRKDBHglTKSzPlKsybUw=/0x0/filters:format(jpeg)/pic1300664.jpg,
11204,,"From the box:&#10;&#10;The hilarious card game where you assign drinks, steal from each other, have blackouts, and even an occasional drunken hookup. Beer! also tests your knowledge of crazy categories like: Types of Liquor, Cartoon Dogs, and Excuses for Not Making Love. You win by holding the highest valued drink cards at the end of the game. And if you win, you get to assign LOTS of drinks to the other players. For 2 - 6 players (add a second deck for 7 - 12 players).&#10;&#10;"
11205,https://cf.geekdo-images.com/QU473K062f8cwY0cnPOwKw__original/img/B4EJNGfe-5I2WTnRq0Ed2P30vmw=/0x0/filters:format(jpeg)/pic287003.jpg,
11206,,"Pacific Battles is a wargame series covering the great land battles of the Pacific theater in WWII. Units are battalions, with companies and regiments. Most games in the series have players commanding anywhere from a division to a corps worth of forces, and employment of combined arms tactics becomes critical. The system shows the evolution of tactical doctrine in both the Japanese and Allied armies with Banzai charges, superior U.S. fire coordination, naval bombardment, airpower, amphibious landings, and engineer operations. Games in this volume include:&#10;&#10;The Fall of Singapore is a simulation of one of the worst military defeats in British history. From December of 1941 to February of 1942, the campaign is a case study of a smaller but better-lead force of Japanese outmaneuvering a much larger but poorly trained and ill-led British.&#10;&#10;Struggle on Bataan recreates the desperate U.S. and Filipino defense of the Bataan Peninsula between 9 January and 9 April 1942.  The defense of Bataan, though ultimately doomed, constituted the only serious disruption to the string of Japanese victories during the first six months of the war.&#10;&#10;Turning Point: Guadalcanal is the struggle between the United States and Japan for possession of the island of Guadalcanal in the southern Solomons chain. The battle lasted from August 1942 until early February 1943.  The opponents on Guadalcanal were approximately of equal strength and with control of the seas around the island still to be decided, Guadalcanal was the last time in the war when an American amphibious operation faced the prospect of total defeat.&#10;&#10;"
11207,https://cf.geekdo-images.com/YatvBjpeO27_zeh4IrEyeA__original/img/EfpQ2YLChZVn4MX8Bq77hLMDuy8=/0x0/filters:format(jpeg)/pic5300477.jpg,
11208,,"Children's game, Ages 3 and up. All players are dealt a sheet depicting a farm. The farm shows the outlines of eight animals (2 cats, 2 ducks, 2 rabbits and 2 roosters).&#10;Goal is to be the first to collect the 8 animals in your farm. The roll of a colored die shows which kind of animal you may take into your farm (if there is still a place for it). First player to collect all of his animals wins.&#10;&#10;"
11209,https://cf.geekdo-images.com/V5yVIiCEC_bqhcyP8lTqIg__original/img/rm9HVKjxtGYNVTAhnXZIbYyBdZ8=/0x0/filters:format(jpeg)/pic45764.jpg,
11211,,"From game summary on box:&#10;&#10;A brilliant dimension lies before you and a cunning battle must be fought. Your powerful Stealth Force has been protecting its portion of Dimension Gemstone for centuries, but the enemy has been looming ever closer; threatening to conquer your territory.&#10;&#10;Strategy - You may find that your only protection is your wide array of Stealth Attack Modules and their Concealed Power Pieces as you move through Dimension Gemstone, evading your dangerous opponent. Some of your Power Pieces can be used to destroy, while others can distract and act as decoys. The Starburst, Blaster, Ringer, Decoy and Laser each have special ways of fending off the enemy (see below). As commander of the Stealth Force, you must remember the importance of your mission - defend, retaliate and move with all possible speed. The future of Dimension Gemstone is in your hands.&#10;&#10;Under Fire - The longer you wait to retaliate, the more time your opponent has to build strategy and plan the next attack. Keep focused as there are concealed dangers that may catch you unaware.&#10;&#10;Escape - Dimension Gemstone has Portals that are the way for you and your Stealth Force to find a route of escape, or as a means of Surprise attack. They can zip you from one side of Dimension Gemstone to another, swiftly out of danger's way.&#10;&#10;Your Mission is Clear - and it is of the utmost importance that you keep in mind the dynamics of each Stealth Attack Module. Your victory or defeat may be at stake. As Commander of the Stealth Force, you control the fate of Dimension Gemstone.&#10;&#10;Each move is an exciting and strategic challenge to outmaneuver your opponent. Dimension Gemstone needs your protection. Seek to conquer, but be careful not to fall into the hands of the enemy. &#10; Each type of power piece is different. While a BLASTER can destroy all pieces and Portals in a 2-space range, the RINGER has only a 1-space range. The LASER has a 7-space range limit and can destroy the first piece or Portal in a straight line. The STARBURSTS have the power to emanate energy in a starburst pattern and can destroy all pieces and Portals within a 3-space, straight line.&#10;&#10;"
11212,https://cf.geekdo-images.com/ciSmx2JJMAhfRhYVzWxJ9g__original/img/FS0DcQtWN6DsY64lGlGkXCExY64=/0x0/filters:format(jpeg)/pic1462539.jpg,
